Aldehyde: [CX3H1:1]=[OX1;!$(O=C~[!#1!#6]):2]
AlkynylCarbonyl: [#6,#1:1][C:2]#[C:3][C:4](=[OX1:5])[#6,#7,#8:6]
ArylCarbonyl: c(=O)(~c)~c
CarbonylImide: [$([#6][CX3]=[OX2+][NX2-][#6]),$([#6][CX3+][OX2][NX2-][#6])]
CarbonylOxide: [$([CX3-][OX2+]=[OX1]),$([CX3]=[OX2+][OX1-])]
CarbonylYlide: [$([CX3]=[OX2+][CX3-]),$([CX3+][OX2][CX3-])]
Diphenol12: [#6;!C;!$(c(OH)c=[O]):2]([OX2H1:3])[#6;!C:1][OX2H1:4]
Diphenol14: [#6;!C;!$(c(OH)c=[O]):2]([OX2H1:3])[c][c][#6;!C:1][OX2H1:4]
Enol: [C;!$(C[OX2H1]):1]=[#6X3:2][OX2H1:3]
EnolDerivative: [C;!$(C[OH,SH]):1]=[C:2][OX2,SX2:3][#1,#6;!$(C=[O]):4]
EnolEster: [!$([!#6!#1]):6][CX3:5](=[OX1:2])[OX2:1][CX3:3]=[#6X3;!$(C[OX2]):4]
EnolEther: [#6;!$(C=[#7,#8,#16]):4][OX2:1][CX3:2]=[CX3:3]
Ketone: [#6:2][CX3:1](=[OX1;!$(O=C~[!#1!#6]);!$(O=CC~[!#1!#6]);!$([O]=CC=[O]);!$([O]=CCC=[O])!$([O]=CCCC=[O]):3])[#6:4]
PerHaloKetone: O=C([#6])C([F,Cl,Br,I])([F,Cl,Br,I])[F,Cl,Br,I]
Phenol: [#6;!C;!$(c(OH)c=[O]);!$([#6](OH)[#7,#8]);!$([#6]([OH]):,=[#6]([OH])):1][OX2H:2]
PhenolicMannichBase: [c:1]1([OH])[c][c][c][c][c:2]1[CX4:3][NX3:4]
PolyHaloPhenol_23: c1c([OX2H1])c(-[Cl,Br,I])c(-[Cl,Br,I])cc1.c1c([OX2H1])c(-[Cl,Br,I])c(-[Cl,Br,I])cc1
PolyHaloPhenol_24: c1c([OX2H1])c(-[Cl,Br,I])cc(-[Cl,Br,I])c1.c1c([OX2H1])c(-[Cl,Br,I])cc(-[Cl,Br,I])c1
PolyHaloPhenol_26: c(-[Cl,Br,I])1c([OX2H1])c(-[Cl,Br,I])ccc1.c(-[Cl,Br,I])1c([OX2H1])c(-[Cl,Br,I])ccc1
PolyHaloPhenol_34: c1c([OX2H1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1.c1c([OX2H1])ccc(-[Cl,Br,I])c(-[Cl,Br,I])1
QuaternaryNitrogen_bCarbonyl: [#6](=O)[#6][#7+]
SalicylaldehydeImine: [c:1]1([OH])[c][c][c][c][c:2](C=N)1
ThioAldehyde: [CX3H1,CX3H2:1]=[SX1;!$(S=C~[!#1!#16]):2]
ThioCarbonyl: [CX3:1](=[SX1:2])[#1,#6:3]
ThioEnol: [SX2H:1][CX3;$([H1]),$(C[#6]):2]=[CX3;!$(CS):3]
ThioEnolEther: [SX2:1]([#6;!$(C=[N,O,S]):2])[CX3;$(C[#6]),$([CH]):3]=[CX3;!$(CS):4]
ThioKetone: [#6:3][CX3H0:1](=[SX1;!$(S=C~[!#1!#16]):2])[#6:4]
aHaloKetone: [CX3:2](=[O:3])[CX4:4][F,Cl,Br,I:6]
aHydroxyKetone: [#6:5][#6:1]([OX2H1:2])[CX3:3](=[OX1:4])[#6:6]
abUnsatdCarbonyl: [#6:1](=[OX1:2])[#6X3:3]=[#6X3;!$(C#[N]);!$(C=C[N,S]);!$(CO[Al,Ag,Cu,Co,Mn,Fe,Ni,Pt,Pd,V,Cr,Zn]):4]
bHaloCarbonyl: [CX3:1](=[OX1:2])[CX4:3][CX4:4][F,Cl,Br,I:5]
