Ligand,Synonyms
2Z4,SDZ283-910
0Q4,Inhibitor analogues of CA-p2
U0E,No synonyms data available
PSI,SKF 107457
THK,No synonyms data available
NMB,No synonyms data available
AH1,"(4R,5S, 6S, 7R)-1,3-DIBENZYL-4,7-BIS(PHENOXYMETHYL)-5,6-DIHYDROXY-1,3 DIAZEPAN-2-ONE"
RTY,No synonyms data available
PI5,MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 5
PI4,MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 4
PI6,MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 6
PI7,MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 7
IM1,No synonyms data available
HBY,HBY 097
XV6,XV638
DMP,DMP323(INHIBITOR OF DUPONT MERCK)
146,SD146
BM1,BM+21.1326
BM5,BM +50.0934
GCA,GCA-186
612,TNK-6123
3IN,No synonyms data available
MK1,INDINAVIR
ROC,Fortovase; SAQUINAVIR; RO 31-8959
L75,"L-756,423"
PI8,MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 8
PI9,No synonyms data available
TPV,TIPRANAVIR
A85,No synonyms data available
DMQ,DMP450(INHIBITOR OF DUPONT MERCK)
FPT,No synonyms data available
FTC,No synonyms data available
BEI,INHIBITOR BEA322
BEB,INHIBITOR BEA369
BEC,INHIBITOR BEA388
BED,INHIBITOR BEA403
BEE,INHIBITOR BEA409
BEJ,INHIBITOR BEA428
MS3,INHIBITOR MSA367
BFU,MSC204
PBM,No synonyms data available
S11,No synonyms data available
CPS,CHAPS
CG1,No synonyms data available
2NC,p2/NC
EFZ,DMP-266; Efavirenz
NVP,NON-NUCLEOSIDE RT INHIBITOR NEVIRAPINE
0ZT,No synonyms data available
NM1,AHA047
AHF,No synonyms data available
N2P,No synonyms data available
GAN,No synonyms data available
PJJ,No synonyms data available
C20,CGP 53820
1ZK,U75875
AAA,No synonyms data available
TBO,TBO 8; TIBO R86183
PHP,No synonyms data available
UNI,No synonyms data available
RUN,SB206343
478,Amprenavir
KNI,(N-TERT-BUTYL-THIOPROLINE)-(5-ISOQUINOLYLOXYACETYL-METHYLTHIOALANINE)-ALLOPHENYLNORSTATINE; KNI-272
AAP,No synonyms data available
G23,GR123976
G26,GR126045
G37,GR137615
A79,No synonyms data available
Q82,Q8261
A77,No synonyms data available
A78,No synonyms data available
A76,No synonyms data available
XK2,No synonyms data available
216,XK216
RIT,A-84538
TTA,No synonyms data available
TTO,No synonyms data available
0ZR,No synonyms data available
PNU,No synonyms data available
MSD,No synonyms data available
Q50,No synonyms data available
B3S,No synonyms data available
BCX,No synonyms data available
DAB,No synonyms data available
SET,No synonyms data available
TNK,No synonyms data available
UC1,UC781
SBN,No synonyms data available
ALY,No synonyms data available
SPH,No synonyms data available
XN3,ANALOGUE OF INDINAVIR DRUG
XN1,ANALOGUE OF INDINAVIR
XN2,ANALOGUE OF INDINAVIR DRUG
SPP,Delavirdine
PMZ,ACETYLPROMAZINE
U05,1051U91
0ZQ,No synonyms data available
K57,KNI-577
JE2,JE-2147; AG1776; KNI-764
AB1,ABT-378; LOPINAVIR
KI2,No synonyms data available
3NH,No synonyms data available
L27,LDC271 INHIBITOR
LGZ,LGZ479 INHIBITOR
0E8,BMS-182193
LP1,No synonyms data available
1UN,NELFINAVIR MESYLATE AG1343
A88,A-98881
846,INHIBITOR Q8467 OF DUPONT MERCK
CYY,No synonyms data available
100,No synonyms data available
TB9,No synonyms data available
SIN,No synonyms data available
MKC,No synonyms data available
UC2,UC10
UC3,UC38
UC4,UC84
TTP,No synonyms data available
HEF,No synonyms data available
IET,No synonyms data available
TPB,No synonyms data available
ADB,No synonyms data available
ABZ,No synonyms data available
185,No synonyms data available
65B,Etravine; Etravirine
TFO,TENOFOVIR
TNV,TENOFOVIR-DIPHOSPHATE
017,Darunavir; TMC114; UIC-94017
BH0,No synonyms data available
H12,No synonyms data available
GWB,No synonyms data available
H16,No synonyms data available
H18,No synonyms data available
H20,No synonyms data available
CP9,"CP-94,707"
U01,PARA-BROMOPHENYL ANALOGUE OF PHEN-PROCOUMON 3-(ALPHA-ETHYLBENZYL)-4-HYDROXYCOUMARIN
P13,RBT550 INHIBITOR
P14,RBT203 INHIBITOR
P12,RBT205 INHIBITOR
BAY,No synonyms data available
568,No synonyms data available
BLL,No synonyms data available
189,No synonyms data available
190,No synonyms data available
OIS,OXIMINOARYLSULFONAMIDE
HBB,"N-[2-HYDROXY-2-(8-ISOPROPYL-6,9-DIOXO-2-OXA-7,10-DIAZA-BICYCLO[11.2.2]HEPTADECA-1(16),13(17),14-TRIEN-11-YL)-ETHYL]-N-(3-METHYL-BUTYL)-BENZENESULFONAMIDE; INHIBITOR 3"
HBH,"2-(11-{2-[BENZENESULFONYL-(3-METHYL-BUTYL)-AMINO]-1-HYDROXY-ETHYL}-6,9-DIOXO-2-OXA-7,10-DIAZA-BICYCLO[11.2.2]HEPTADECA-1(16),13(17),14-TRIEN-8-YL)-ACETAMIDE; INHIBITOR 2"
0ZS,No synonyms data available
AB2,No synonyms data available
A83,No synonyms data available
CB5,No synonyms data available
IPF,No synonyms data available
AAU,No synonyms data available
FRD,No synonyms data available
DR7,"ATAZANAVIR; METHYL [(1S,4S,5S,10S)-4-BENZYL-1,10-DI-TERT-BUTYL-5-HYDROXY-2,9,12-TRIOXO-7-(4-PYRIDIN-2-YLBENZYL)-13-OXA-3,7,8,11-TETRAAZATETRADEC-1-YL]CARBAMATE"
3TL,"TL-3, C2 symmetric inhibitor"
XYL,D-Xylitol
3AC,No synonyms data available
T50,No synonyms data available
357,No synonyms data available
AKC,"2-ETHOXYETHYL (2S,3S)-4-((S)-2-BENZYL-3-OXO-4-((3AR,8R,8AS)-2-OXO-3,3A,8,8A-TETRAHYDRO-2H-INDENO[1,2-D]OXAZOL-8-YL)-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE"
HH1,"(S)-TETRAHYDROFURAN-3-YL (2S,3S)-4-((S)-4-((1R,3R)-3-(2-AMINO-2-OXOETHYL)-2,3-DIHYDRO-1H-INDEN-1-YL)-2-BENZYL-3-OXO-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE"
R22,No synonyms data available
