Ligand	Synonyms
2Z4	SDZ283-910
0Q4	Inhibitor analogues of CA-p2
U0E	
PSI	SKF 107457
THK	
NMB	
AH1	(4R,5S, 6S, 7R)-1,3-DIBENZYL-4,7-BIS(PHENOXYMETHYL)-5,6-DIHYDROXY-1,3 DIAZEPAN-2-ONE
RTY	
PI5	MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 5
PI4	MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 4
PI6	MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 6
PI7	MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 7
IM1	
HBY	HBY 097
XV6	XV638
DMP	DMP323(INHIBITOR OF DUPONT MERCK)
146	SD146
BM1	BM+21.1326
BM5	BM +50.0934
GCA	GCA-186
612	TNK-6123
3IN	
MK1	INDINAVIR
ROC	Fortovase; SAQUINAVIR; RO 31-8959
L75	L-756,423
PI8	MACROCYCLIC PEPTIDOMIMETIC INHIBITOR 8
PI9	
TPV	TIPRANAVIR
A85	
DMQ	DMP450(INHIBITOR OF DUPONT MERCK)
FPT	
FTC	
BEI	INHIBITOR BEA322
BEB	INHIBITOR BEA369
BEC	INHIBITOR BEA388
BED	INHIBITOR BEA403
BEE	INHIBITOR BEA409
BEJ	INHIBITOR BEA428
MS3	INHIBITOR MSA367
BFU	MSC204
PBM	
S11	
CPS	CHAPS
CG1	
2NC	p2/NC
EFZ	DMP-266; Efavirenz
NVP	NON-NUCLEOSIDE RT INHIBITOR NEVIRAPINE
0ZT	
NM1	AHA047
AHF	
N2P	
GAN	
PJJ	
C20	CGP 53820
1ZK	U75875
AAA	
TBO	TBO 8; TIBO R86183
PHP	
UNI	
RUN	SB206343
478	Amprenavir
KNI	(N-TERT-BUTYL-THIOPROLINE)-(5-ISOQUINOLYLOXYACETYL-METHYLTHIOALANINE)-ALLOPHENYLNORSTATINE; KNI-272
AAP	
G23	GR123976
G26	GR126045
G37	GR137615
A79	
Q82	Q8261
A77	
A78	
A76	
XK2	
216	XK216
RIT	A-84538
TTA	
TTO	
0ZR	
PNU	
MSD	
Q50	
B3S	
BCX	
DAB	
SET	
TNK	
UC1	UC781
SBN	
ALY	
SPH	
XN3	ANALOGUE OF INDINAVIR DRUG
XN1	ANALOGUE OF INDINAVIR
XN2	ANALOGUE OF INDINAVIR DRUG
SPP	Delavirdine
PMZ	ACETYLPROMAZINE
U05	1051U91
0ZQ	
K57	KNI-577
JE2	JE-2147; AG1776; KNI-764
AB1	ABT-378; LOPINAVIR
KI2	
3NH	
L27	LDC271 INHIBITOR
LGZ	LGZ479 INHIBITOR
0E8	BMS-182193
LP1	
1UN	NELFINAVIR MESYLATE AG1343
A88	A-98881
846	INHIBITOR Q8467 OF DUPONT MERCK
CYY	
100	
TB9	
SIN	
MKC	
UC2	UC10
UC3	UC38
UC4	UC84
TTP	
HEF	
IET	
TPB	
ADB	
ABZ	
185	
65B	Etravine; Etravirine
TFO	TENOFOVIR
TNV	TENOFOVIR-DIPHOSPHATE
017	Darunavir; TMC114; UIC-94017
BH0	
H12	
GWB	
H16	
H18	
H20	
CP9	CP-94,707
U01	PARA-BROMOPHENYL ANALOGUE OF PHEN-PROCOUMON 3-(ALPHA-ETHYLBENZYL)-4-HYDROXYCOUMARIN
P13	RBT550 INHIBITOR
P14	RBT203 INHIBITOR
P12	RBT205 INHIBITOR
BAY	
568	
BLL	
189	
190	
OIS	OXIMINOARYLSULFONAMIDE
HBB	N-[2-HYDROXY-2-(8-ISOPROPYL-6,9-DIOXO-2-OXA-7,10-DIAZA-BICYCLO[11.2.2]HEPTADECA-1(16),13(17),14-TRIEN-11-YL)-ETHYL]-N-(3-METHYL-BUTYL)-BENZENESULFONAMIDE; INHIBITOR 3
HBH	2-(11-{2-[BENZENESULFONYL-(3-METHYL-BUTYL)-AMINO]-1-HYDROXY-ETHYL}-6,9-DIOXO-2-OXA-7,10-DIAZA-BICYCLO[11.2.2]HEPTADECA-1(16),13(17),14-TRIEN-8-YL)-ACETAMIDE; INHIBITOR 2
0ZS	
AB2	
A83	
CB5	
IPF	
AAU	
FRD	
DR7	ATAZANAVIR; METHYL [(1S,4S,5S,10S)-4-BENZYL-1,10-DI-TERT-BUTYL-5-HYDROXY-2,9,12-TRIOXO-7-(4-PYRIDIN-2-YLBENZYL)-13-OXA-3,7,8,11-TETRAAZATETRADEC-1-YL]CARBAMATE
3TL	TL-3, C2 symmetric inhibitor
XYL	D-Xylitol
3AC	
T50	
357	
AKC	2-ETHOXYETHYL (2S,3S)-4-((S)-2-BENZYL-3-OXO-4-((3AR,8R,8AS)-2-OXO-3,3A,8,8A-TETRAHYDRO-2H-INDENO[1,2-D]OXAZOL-8-YL)-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE
HH1	(S)-TETRAHYDROFURAN-3-YL (2S,3S)-4-((S)-4-((1R,3R)-3-(2-AMINO-2-OXOETHYL)-2,3-DIHYDRO-1H-INDEN-1-YL)-2-BENZYL-3-OXO-2,3-DIHYDRO-1H-PYRROL-2-YL)-3-HYDROXY-1-PHENYLBUTAN-2-YLCARBAMATE
R22	
FUL	beta-L-fucose; 6-deoxy-beta-L-galactopyranose; L-fucose; fucose; 6-DEOXY-BETA-L-GALACTOSE
1IN	L-738,317
A1A	
1AH	
2AH	
4AH	
RO1	
385	
AI	
ORQ	
PBU	di-butanoyl L-alpha-phosphatidyl-D-myo-inositol 4,5-bisphosphate; di-C4-PIP2
PIO	dioctanoyl l-alpha-phosphatidyl-d-myo-inositol 4,5-diphosphate
GRL	
PGR	
PC0	
MUI	
MUT	
QFI	
DJR	
KGQ	
K05	
JG3	
I15	
JPR	
PC8	
8SP	
1HF	
HBQ	
075	KNI-10075
O33	KNI-10033
G0G	
MUU	
MUV	
G3G	
G4G	
MUW	
MU1	
MU0	
065	RL-98065; [(1R,5S,6R)-2,8-DIOXABICYCLO[3.3.0]OCT-6-YL]N-[(2S,3R)-4-[(3,4-METHYLENEDIOXYPHENYL)SULFONYL-(2-METHYLPROPYL)AMINO]-3-HYDROXY-1-PHENYL-BUTAN-2-YL] CARBAMATE
MZ1	
MZ2	
MZ3	
MZ4	
MZ5	
MZ6	
MZ7	
MZ8	
MZ9	
A00	
QN1	
QN2	
QN3	
MRX	
