virus_name,pdb_id,ligand,chain,ligand_id,smiles
Human immunodeficiency virus 1,1A8G,2Z4,A,100,CC(C)[C@@H](C(=O)NCc1ccc(cc1O)OC)NC(=O)[C@@H]([C@@H]([C@H](Cc2ccccc2)NC(=O)[C@H](C(C)(C)C)NC(=O)OCc3ccccc3)O)NCc4ccc(cc4)OC
Human immunodeficiency virus 1,1A8K,0Q4,A,100,CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N
Human immunodeficiency virus 1,1A8K,0Q4,E,100,CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N
Human immunodeficiency virus 1,1A94,0Q4,A,100,CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N
Human immunodeficiency virus 1,1A94,0Q4,E,100,CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N
Human immunodeficiency virus 1,1A9M,U0E,B,100,CC(C)[C@H](C[C@@H]([C@H](CC1CCCCC1)NC(=O)C)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N
Human immunodeficiency virus 1,1AAQ,PSI,B,100,C[C@@H](C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@H](CCC(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)OC)O)N
Human immunodeficiency virus 1,1AID,THK,B,201,c1cc(ccc1C2(SCCS2)CCCN3CCC(CC3)(c4ccc(cc4)Cl)O)F
Human immunodeficiency virus 1,1AJV,NMB,A,501,c1ccc(cc1)C[N@@]2[C@@H]([C@@H]([C@H]([C@H]([N@](S2(=O)=O)Cc3ccccc3)COc4ccccc4)O)O)COc5ccccc5
Human immunodeficiency virus 1,1AJX,AH1,A,500,c1ccc(cc1)CN2[C@@H]([C@@H]([C@H]([C@H](N(C2=O)Cc3ccccc3)COc4ccccc4)O)O)COc5ccccc5
Human immunodeficiency virus 1,1AXA,U0E,A,100,CC(C)[C@H](C[C@@H]([C@H](CC1CCCCC1)NC(=O)C)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N
Human immunodeficiency virus 1,1AXA,U0E,A,101,CC(C)[C@H](C[C@@H]([C@H](CC1CCCCC1)NC(=O)C)O)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N
Human immunodeficiency virus 1,1B6J,RTY,C,2,c1cc(ccc1C[C@@H]([C@H](CBr)O)N)OCCCC(=O)O
Human immunodeficiency virus 1,1B6K,PI5,A,201,CC[C@H](C)[C@H]1C(=O)NCCCOc2ccc(cc2)C[C@@H](C(=O)N1)NC[C@H]([C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)N4CCCC4=O)O
Human immunodeficiency virus 1,1B6L,PI4,A,201,CC(C)(C)NC(=O)[C@@H]1CCCC[N@]1C[C@H]([C@@H]2Cc3ccc(cc3)OCCCC(=O)N[C@H](C(=O)N2)CC(=O)N)O
Human immunodeficiency virus 1,1B6M,PI6,B,201,CC[C@H](C)[C@H]1C(=O)NCCCOc2ccc(cc2)C[C@@H](C(=O)N1)NC[C@H]([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)O
Human immunodeficiency virus 1,1B6P,PI7,A,201,CC[C@H](C)[C@H]1C(=O)NCCCOc2ccc(cc2)C[C@@H](C(=O)N1)NC[C@H]([C@H](Cc3ccc(cc3)O)NC(=O)[C@H](C(C)C)NC(=O)CC)O
Human immunodeficiency virus 1,1BDL,IM1,A,400,CC(C)[C@@H](c1[nH]ccn1)NC(=O)[C@H](Cc2ccccc2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)O
Human immunodeficiency virus 1,1BDL,IM1,B,600,CC(C)[C@@H](c1[nH]ccn1)NC(=O)[C@H](Cc2ccccc2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)O
Human immunodeficiency virus 1,1BDQ,IM1,B,400,CC(C)[C@@H](c1[nH]ccn1)NC(=O)[C@H](Cc2ccccc2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)O
Human immunodeficiency virus 1,1BDR,IM1,B,400,CC(C)[C@@H](c1[nH]ccn1)NC(=O)[C@H](Cc2ccccc2)C[C@@H]([C@H](Cc3ccccc3)NC(=O)OC(C)(C)C)O
Human immunodeficiency virus 1,1BQM,HBY,A,557,CC(C)OC(=O)N1c2cc(ccc2NC(=S)[C@@H]1CSC)OC
Human immunodeficiency virus 1,1BQN,HBY,A,559,CC(C)OC(=O)N1c2cc(ccc2NC(=S)[C@@H]1CSC)OC
Human immunodeficiency virus 1,1BV7,XV6,A,638,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O
Human immunodeficiency virus 1,1BV9,XV6,A,638,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O
Human immunodeficiency virus 1,1BVE,DMP,B,100,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3ccc(cc3)CO)Cc4ccc(cc4)CO)Cc5ccccc5)O)O
Human immunodeficiency virus 1,1BVG,DMP,B,100,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3ccc(cc3)CO)Cc4ccc(cc4)CO)Cc5ccccc5)O)O
Human immunodeficiency virus 1,1BWA,XV6,B,638,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4nccs4)Cc5cccc(c5)C(=O)Nc6nccs6)Cc7ccccc7)O)O
Human immunodeficiency virus 1,1BWB,146,B,641,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)C(=O)Nc4[nH]c5ccccc5n4)Cc6cccc(c6)C(=O)Nc7[nH]c8ccccc8n7)Cc9ccccc9)O)O
Human immunodeficiency virus 1,1C0T,BM1,A,999,Cc1cccc(c1)[C@@]23c4ccccc4C(=O)N2CCS3
Human immunodeficiency virus 1,1C0U,BM5,A,999,COC(=O)[C@@H]1CS[C@]2(N1C(=O)c3c2cccc3)c4ccccc4
Human immunodeficiency virus 1,1C1B,GCA,A,999,CCOCN1C(=C(C(=O)NC1=O)C(C)C)Cc2cc(cc(c2)C)C
Human immunodeficiency virus 1,1C1C,612,A,999,CCOCN1C(=C(C(=O)NC1=O)C(C)C)SC2CCCCC2
Human immunodeficiency virus 1,1C6X,3IN,B,622,C[C@H]1CC[C@H]([C@H]1NC(=O)[C@H](Cc2ccccc2)C[C@@H](C[N@@]3CCN(C[C@H]3C(=O)NC(C)(C)C)C(=O)c4cnc(c(n4)Cl)N5CCN(CC5)C)O)O
Human immunodeficiency virus 1,1C6Y,MK1,B,524,CC(C)(C)NC(=O)[C@@H]1C[N@@](CC[N@]1C[C@H](C[C@@H](Cc2ccccc2)C(=O)N[C@H]3c4ccccc4C[C@H]3O)O)Cc5cccnc5
Human immunodeficiency virus 1,1C6Z,ROC,B,505,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2C[N@]1C[C@H]([C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4)O
Human immunodeficiency virus 1,1C70,L75,B,423,CC(C)(C)NC(=O)[C@@H]1C[N@@](CC[N@]1C[C@H](C[C@@H](Cc2ccccc2)C(=O)N[C@H]3c4ccccc4C[C@H]3O)O)Cc5cc6ccccc6o5
Human immunodeficiency virus 1,1CPI,RTY,C,2,c1cc(ccc1C[C@@H]([C@H](CBr)O)N)OCCCC(=O)O
Human immunodeficiency virus 1,1D4K,PI8,A,201,CC[C@H](C)[C@H]1C(=O)NCCCCCOc2ccc(cc2)C[C@@H](C(=O)N1)NC[C@H](C[C@@H](Cc3ccccc3)C(=O)N[C@H]4c5ccccc5C[C@H]4O)O
Human immunodeficiency virus 1,1D4L,PI9,A,201,CC(C)CC[N@@](C[C@H]([C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@H](C(=O)N1)C(C)C)O)S(=O)(=O)c3ccc(cc3)N
Human immunodeficiency virus 1,1D4S,TPV,A,201,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)c2cccc(c2)NS(=O)(=O)c3ccc(cn3)C(F)(F)F)O)CCc4ccccc4
Human immunodeficiency virus 1,1D4Y,TPV,A,501,CCC[C@]1(CC(=C(C(=O)O1)[C@H](CC)c2cccc(c2)NS(=O)(=O)c3ccc(cn3)C(F)(F)F)O)CCc4ccccc4
Human immunodeficiency virus 1,1DAZ,0Q4,D,601,CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N
Human immunodeficiency virus 1,1DIF,A85,B,101,CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)C(C([C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)NC(=O)N(C)Cc3ccccn3)(F)F)(O)O)NC(=O)N(C)Cc4ccccn4
Human immunodeficiency virus 1,1DMP,DMQ,B,450,c1ccc(cc1)C[C@@H]2[C@@H]([C@H]([C@H](N(C(=O)N2Cc3cccc(c3)N)Cc4cccc(c4)N)Cc5ccccc5)O)O
Human immunodeficiency virus 1,1DTQ,FPT,A,999,CCOc1ccnc(c1F)CCNC(=S)Nc2ccc(cn2)C#N
Human immunodeficiency virus 1,1DTT,FTC,A,999,CCOc1ccnc(c1F)CCNC(=S)Nc2ccc(cn2)Cl
Human immunodeficiency virus 1,1DW6,0Q4,D,401,CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N
Human immunodeficiency virus 1,1EBK,0Q4,D,201,CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N
Human immunodeficiency virus 1,1EBK,0Q4,E,501,CCCC[C@@H](C(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](Cc1ccccc1)NC[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCNC(=[NH2+])N)N
