virus_name,pdb_id,protein
Human immunodeficiency virus 1,1A1N,Polymerase
Human immunodeficiency virus 1,1A1O,Polymerase
Human immunodeficiency virus 1,1A1T,Capsid Protein
Human immunodeficiency virus 1,1A1T,Nucleocapsid Protein
Human immunodeficiency virus 1,1A30,Capsid Protein
Human immunodeficiency virus 1,1A30,Protease
Human immunodeficiency virus 1,1A43,Capsid Protein
Human immunodeficiency virus 1,1A8G,Protease
Human immunodeficiency virus 1,1A8K,Protease
Human immunodeficiency virus 1,1A8O,Capsid Protein
Human immunodeficiency virus 1,1A94,Protease
Human immunodeficiency virus 1,1A9M,Protease
Human immunodeficiency virus 1,1AAF,Capsid Protein
Human immunodeficiency virus 1,1AAF,Nucleocapsid Protein
Human immunodeficiency virus 1,1AAQ,Protease
Human immunodeficiency virus 1,1ACY,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1AFV,Capsid Protein
Human immunodeficiency virus 1,1AGB,Capsid Protein
Human immunodeficiency virus 1,1AGC,Capsid Protein
Human immunodeficiency virus 1,1AGD,Capsid Protein
Human immunodeficiency virus 1,1AGE,Capsid Protein
Human immunodeficiency virus 1,1AGF,Capsid Protein
Human immunodeficiency virus 1,1AID,Protease
Human immunodeficiency virus 1,1AIK,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1AIK,Protease
Human immunodeficiency virus 1,1AJV,Protease
Human immunodeficiency virus 1,1AJX,Protease
Human immunodeficiency virus 1,1AK4,Capsid Protein
Human immunodeficiency virus 1,1AUM,Capsid Protein
Human immunodeficiency virus 1,1AXA,Protease
Human immunodeficiency virus 1,1B03,Envelope Protein/Glycoprotein
Human immunodeficiency virus 1,1B6J,Protease
Human immunodeficiency virus 1,1B6K,Protease
Human immunodeficiency virus 1,1B6L,Protease
Human immunodeficiency virus 1,1B6M,Protease
Human immunodeficiency virus 1,1B6P,Protease
Human immunodeficiency virus 1,1B92,Integrase
Human immunodeficiency virus 1,1B9D,Integrase
Human immunodeficiency virus 1,1B9F,Integrase
Human immunodeficiency virus 1,1BAJ,Capsid Protein
Human immunodeficiency virus 1,1BDE,Accessory Proteins
Human immunodeficiency virus 1,1BDL,Protease
Human immunodeficiency virus 1,1BDQ,Protease
Human immunodeficiency virus 1,1BDR,Protease
Human immunodeficiency virus 1,1BHL,Integrase
Human immunodeficiency virus 1,1BI4,Integrase
Human immunodeficiency virus 1,1BIS,Integrase
Human immunodeficiency virus 1,1BIS,Protease
