component_id,source_smiles,source_name,canonical_smiles,chemical_status
006,Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C,Components-smiles-stereo-oe.smi,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O,resolved
010,c1ccc(cc1)CO,Components-smiles-stereo-oe.smi,OCc1ccccc1,resolved
016,Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C,Components-smiles-stereo-oe.smi,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O,resolved
017,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,Components-smiles-stereo-oe.smi,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,resolved
02J,Cc1cc(no1)C(=O)O,Components-smiles-stereo-oe.smi,Cc1cc(C(=O)O)no1,resolved
031,COc1ccc(cc1)S(=O)(=O)[N@@](C[C@H]2CCC(=O)N2)C[C@H]([C@H](Cc3ccccc3)NC(=O)O[C@@H]4C[C@@H]5CCO[C@@H]5C4)O,Components-smiles-stereo-oe.smi,COc1ccc(S(=O)(=O)N(C[C@H]2CCC(=O)N2)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3CCO[C@@H]3C2)cc1,resolved
03G,CC1(CC(CC(N1)(C)C)NC(=O)C(=O)Nc2ccc(cc2)Cl)C,Components-smiles-stereo-oe.smi,CC1(C)CC(NC(=O)C(=O)Nc2ccc(Cl)cc2)CC(C)(C)N1,resolved
04R,C1CCc2c(c(nn2CC(=O)O)C(F)(F)F)C1,Components-smiles-stereo-oe.smi,O=C(O)Cn1nc(C(F)(F)F)c2c1CCCC2,resolved
05R,c1cc(c(cc1CC(=O)O)Cl)Cl,Components-smiles-stereo-oe.smi,O=C(O)Cc1ccc(Cl)c(Cl)c1,resolved
065,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5,Components-smiles-stereo-oe.smi,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc2c(c1)OCO2,resolved
