entry_id,deposited_model_num,label_asym_id,component_id,auth_asym_id,auth_seq_id,insertion_code_normalized,mapping_reason_class,algorithm_queue,preflight_mapping_status,heavy_atoms_structural,heavy_atoms_reference,heavy_atoms_mapped,heavy_atom_mapping_fraction,remediation_status,notes
1A9M,1,C,U0E,B,100,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
1AXA,1,C,U0E,A,100,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
1AXA,1,D,U0E,A,101,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,41,0.97619,pending,Stage 2I QC-controlled mapping deferral
1BQM,1,C,HBY,A,557,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,22,22,21,0.954545,pending,Stage 2I QC-controlled mapping deferral
1BQN,1,C,HBY,A,559,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,22,22,21,0.954545,pending,Stage 2I QC-controlled mapping deferral
1BWB,1,C,146,B,641,,P7_MCS_TIMEOUT,QUEUE_COMPLEX_GRAPH,mapping_timeout,,,,,pending,Stage 2I QC-controlled mapping deferral
1D4K,1,E,PI8,A,201,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,51,51,1,0.019608,pending,Stage 2I QC-controlled mapping deferral
1D4L,1,E,PI9,A,201,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,43,43,1,0.023256,pending,Stage 2I QC-controlled mapping deferral
1D4S,1,C,TPV,A,201,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,24,0.571429,pending,Stage 2I QC-controlled mapping deferral
1D4Y,1,C,TPV,A,501,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,42,42,24,0.571429,pending,Stage 2I QC-controlled mapping deferral
1DAZ,1,C,0Q4,D,601,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,59,59,58,0.983051,pending,Stage 2I QC-controlled mapping deferral
1DTQ,1,C,FPT,A,999,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,24,24,22,0.916667,pending,Stage 2I QC-controlled mapping deferral
1DTT,1,C,FTC,A,999,,P11_OTHER,QUEUE_BOND_TEMPLATE,partial_adapter_limitation,23,23,22,0.956522,pending,Stage 2I QC-controlled mapping deferral
1DW6,1,C,0Q4,D,401,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,59,59,58,0.983051,pending,Stage 2I QC-controlled mapping deferral
1EBK,1,E,0Q4,D,201,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,59,59,58,0.983051,pending,Stage 2I QC-controlled mapping deferral
1EBK,1,F,0Q4,E,501,,P1_EXACT_HEAVY_TOPOLOGY_MCS_PARTIAL,QUEUE_EXACT_GRAPH,partial_adapter_limitation,59,59,58,0.983051,pending,Stage 2I QC-controlled mapping deferral
1FEJ,1,C,2NC,D,400,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
1FF0,1,C,2NC,C,300,,P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,partial_adapter_limitation,54,54,53,0.981481,pending,Stage 2I QC-controlled mapping deferral
