ligand_id,component_id,status,source_smiles,canonical_smiles,smiles_source,source_locator,source_count
162,006,resolved,Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1764,010,resolved,c1ccc(cc1)CO,OCc1ccccc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,5
893,016,resolved,Cc1cccc(c1OCC(=O)N[C@@H](Cc2ccccc2)[C@H](C(=O)N3CSC([C@H]3C(=O)N[C@H]4c5ccccc5C[C@H]4O)(C)C)O)C,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
53,017,resolved,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc(cc4)N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,159
1762,02J,resolved,Cc1cc(no1)C(=O)O,Cc1cc(C(=O)O)no1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,5
148,031,resolved,COc1ccc(cc1)S(=O)(=O)[N@@](C[C@H]2CCC(=O)N2)C[C@H]([C@H](Cc3ccccc3)NC(=O)O[C@@H]4C[C@@H]5CCO[C@@H]5C4)O,COc1ccc(S(=O)(=O)N(C[C@H]2CCC(=O)N2)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@@H]2C[C@@H]3CCO[C@@H]3C2)cc1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,14
516,03G,resolved,CC1(CC(CC(N1)(C)C)NC(=O)C(=O)Nc2ccc(cc2)Cl)C,CC1(C)CC(NC(=O)C(=O)Nc2ccc(Cl)cc2)CC(C)(C)N1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,4
1379,04R,resolved,C1CCc2c(c(nn2CC(=O)O)C(F)(F)F)C1,O=C(O)Cn1nc(C(F)(F)F)c2c1CCCC2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
1329,05R,resolved,c1cc(c(cc1CC(=O)O)Cl)Cl,O=C(O)Cc1ccc(Cl)c(Cl)c1,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,3
380,065,resolved,CC(C)C[N@@](C[C@H]([C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@@H]3[C@H]2CCO3)O)S(=O)(=O)c4ccc5c(c4)OCO5,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc2c(c1)OCO2,Components-smiles-stereo-oe.smi,<frozen-chemistry-source>,15
