ligand_instance_id,pdb_id,component_id,virus_normalized,target_context_normalized,mapping_reason_class,algorithm_queue,heavy_atom_mapping_fraction,remediation_status,notes
26178,2AVM,2NC,HIV-1,"Capsid protein,Protease",P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,0.981481,pending,Stage 2I QC-controlled mapping deferral
26799,2AVQ,2NC,HIV-1,"Capsid protein,Protease",P3_SMALL_ATOMSET_DIFFERENCE,QUEUE_LOCAL_RECOVERY,0.981481,pending,Stage 2I QC-controlled mapping deferral
27925,2BB9,AKC,HIV-1,"Capsid protein,Protease",P11_OTHER,QUEUE_BOND_TEMPLATE,0.608696,pending,Stage 2I QC-controlled mapping deferral
28231,2BBB,HH1,HIV-1,"Capsid protein,Protease",P11_OTHER,QUEUE_BOND_TEMPLATE,0.608696,pending,Stage 2I QC-controlled mapping deferral
32346,2HNZ,PC0,HIV-1,"Capsid protein,Reverse transcriptase",P11_OTHER,QUEUE_BOND_TEMPLATE,0.956522,pending,Stage 2I QC-controlled mapping deferral
33891,2I5J,K05,HIV-1,"Capsid protein,Polymerase,Reverse transcriptase,Rnase h",P11_OTHER,QUEUE_BOND_TEMPLATE,0.52,pending,Stage 2I QC-controlled mapping deferral
34728,2JLE,I15,HIV-1,"Capsid protein,Nucleoprotein,Polymerase,Protease,Reverse transcriptase",P11_OTHER,QUEUE_BOND_TEMPLATE,0.909091,pending,Stage 2I QC-controlled mapping deferral
36430,2O4L,TPV,HIV-1,"Capsid protein,Protease",P11_OTHER,QUEUE_BOND_TEMPLATE,0.571429,pending,Stage 2I QC-controlled mapping deferral
36814,2O4N,TPV,HIV-1,"Capsid protein,Protease",P11_OTHER,QUEUE_BOND_TEMPLATE,0.571429,pending,Stage 2I QC-controlled mapping deferral
37007,2O4P,TPV,HIV-1,"Capsid protein,Protease",P11_OTHER,QUEUE_BOND_TEMPLATE,0.571429,pending,Stage 2I QC-controlled mapping deferral
43319,2VG5,NNC,HIV-1,"Capsid protein,Integrase,Nucleoprotein,Polymerase,Protease,Reverse transcriptase",P11_OTHER,QUEUE_BOND_TEMPLATE,0.958333,pending,Stage 2I QC-controlled mapping deferral
43375,2VG6,NNB,HIV-1,"Capsid protein,Integrase,Nucleoprotein,Polymerase,Protease,Reverse transcriptase",P11_OTHER,QUEUE_BOND_TEMPLATE,0.958333,pending,Stage 2I QC-controlled mapping deferral
43422,2VG7,NNI,HIV-1,"Capsid protein,Integrase,Nucleoprotein,Polymerase,Protease,Reverse transcriptase",P11_OTHER,QUEUE_BOND_TEMPLATE,0.958333,pending,Stage 2I QC-controlled mapping deferral
